sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
49,4,A,,bus:Entity Party Contact Type,,0..1,,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",bus,bus:Contact,BU08a_07,/BT30a/BU08a/BU08a_07,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Contact Type,BtxbTran.CornPart.Busc.BuscType,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,bus:entityPartyContactType,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactType
50,4,A,,bus:Entity Party Contact Location ID cross reference,,0..1,,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,bus,bus:Contact,BU08a_08,/BT30a/BU08a/BU08a_08,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Contact Location ID cross reference,BtxbTran.CornPart.Busc.BuscLoctIdCrosRefr,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,bus:entityPartyContactLocationIdCrossReference,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactLocationIdCrossReference
51,4,A,,bus:Entity Party Contact Active,,0..1,,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",bus,bus:Contact,BU08a_09,/BT30a/BU08a/BU08a_09,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Contact Active,BtxbTran.CornPart.Busc.BuscActv,担当者有効性,担当者が有効か無効かを示すブール値。,bus:entityPartyContactActive,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactActive
52,4,C,,bus:Entity Party Contact Phone,,0..*,,"Phone number information, as a specialisation of Communication.",bus,bus:Phone,BU02a,/BT30a/BU08a/BU02a,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Phone,BtxbTran.CornPart.Busc.Busp,【電話番号】,電話番号情報（通信手段の特化）。,bus:entityPartyContactPhone,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactPhone
53,5,A,,bus:Entity Party Contact Phone URI Identifier,,0..1,,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:Phone,BU02a_01,/BT30a/BU08a/BU02a/BU02a_01,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Phone.bus:Contact Phone URI Identifier,BtxbTran.CornPart.Busc.Busp.BuscPhonUriIdnr,URI,メールアドレスやWebアドレス等のURI。,bus:entityPartyContactPhoneUriIdentifier,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactPhone/bus:entityPartyContactPhoneUriIdentifier
54,5,A,,bus:Entity Party Contact Phone Channel Code,,0..1,,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:Phone,BU02a_02,/BT30a/BU08a/BU02a/BU02a_02,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Phone.bus:Contact Phone Channel Code,BtxbTran.CornPart.Busc.Busp.BuscPhonChanCod,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",bus:entityPartyContactPhoneChannelCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactPhone/bus:entityPartyContactPhoneChannelCode
55,5,A,,bus:Entity Party Contact Phone Complete Number,,0..1,,The text string of characters that make up the complete number for this communication.,bus,bus:Phone,BU02a_03,/BT30a/BU08a/BU02a/BU02a_03,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Phone.bus:Contact Phone Complete Number,BtxbTran.CornPart.Busc.Busp.BuscPhonCompNumb,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,bus:entityPartyContactPhoneCompleteNumber,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactPhone/bus:entityPartyContactPhoneCompleteNumber
56,5,A,,bus:Entity Party Contact Phone Use Code,,0..1,,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:Phone,BU02a_04,/BT30a/BU08a/BU02a/BU02a_04,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Phone.bus:Contact Phone Use Code,BtxbTran.CornPart.Busc.Busp.BuscPhonUseCod,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",bus:entityPartyContactPhoneUseCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactPhone/bus:entityPartyContactPhoneUseCode
57,4,C,,bus:Entity Party Contact Fax,,0..*,,Fax number information.,bus,bus:Fax,BU03a,/BT30a/BU08a/BU03a,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Fax,BtxbTran.CornPart.Busc.Busf,【FAX番号】,FAX番号情報。,bus:entityPartyContactFax,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactFax
58,5,A,,bus:Entity Party Contact Fax URI Identifier,,0..1,,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:Fax,BU03a_01,/BT30a/BU08a/BU03a/BU03a_01,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Fax.bus:Contact Fax URI Identifier,BtxbTran.CornPart.Busc.Busf.BuscFaxUriIdnr,URI,メールアドレスやWebアドレス等のURI。,bus:entityPartyContactFaxUriIdentifier,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactFax/bus:entityPartyContactFaxUriIdentifier
59,5,A,,bus:Entity Party Contact Fax Channel Code,,0..1,,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:Fax,BU03a_02,/BT30a/BU08a/BU03a/BU03a_02,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Fax.bus:Contact Fax Channel Code,BtxbTran.CornPart.Busc.Busf.BuscFaxChanCod,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",bus:entityPartyContactFaxChannelCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactFax/bus:entityPartyContactFaxChannelCode
60,5,A,,bus:Entity Party Contact Fax Complete Number,,0..1,,The text string of characters that make up the complete number for this communication.,bus,bus:Fax,BU03a_03,/BT30a/BU08a/BU03a/BU03a_03,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Fax.bus:Contact Fax Complete Number,BtxbTran.CornPart.Busc.Busf.BuscFaxCompNumb,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,bus:entityPartyContactFaxCompleteNumber,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactFax/bus:entityPartyContactFaxCompleteNumber
61,5,A,,bus:Entity Party Contact Fax Use Code,,0..1,,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:Fax,BU03a_04,/BT30a/BU08a/BU03a/BU03a_04,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Fax.bus:Contact Fax Use Code,BtxbTran.CornPart.Busc.Busf.BuscFaxUseCod,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",bus:entityPartyContactFaxUseCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactFax/bus:entityPartyContactFaxUseCode
62,4,C,,bus:Entity Party Contact Email,,0..*,,Email address information.,bus,bus:Email,BU04a,/BT30a/BU08a/BU04a,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Email,BtxbTran.CornPart.Busc.Busm,【Eメールアドレス】,Eメールアドレス情報。,bus:entityPartyContactEmail,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactEmail
63,5,A,,bus:Entity Party Contact Email URI Identifier,,0..1,,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:Email,BU04a_01,/BT30a/BU08a/BU04a/BU04a_01,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Email.bus:Contact Email URI Identifier,BtxbTran.CornPart.Busc.Busm.BuscEmlUriIdnr,URI,メールアドレスやWebアドレス等のURI。,bus:entityPartyContactEmailUriIdentifier,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactEmail/bus:entityPartyContactEmailUriIdentifier
64,5,A,,bus:Entity Party Contact Email Channel Code,,0..1,,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:Email,BU04a_02,/BT30a/BU08a/BU04a/BU04a_02,$.btx:Business Transactions.cor:Entity_ Party.bus:Contact.bus:Email.bus:Contact Email Channel Code,BtxbTran.CornPart.Busc.Busm.BuscEmlChanCod,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",bus:entityPartyContactEmailChannelCode,/btx:businessTransactions/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactEmail/bus:entityPartyContactEmailChannelCode
